"STCNTYFIP","STATE","COUNTY","OCC","OCCUPATION","OCCUPATION_BROAD","GENDER","TOTAL_POP","HISP-LAT","WHITE","AI-AN","ASIAN-PI","BLACK","TWO-OR-MORE","OTHER","PCT_HISP-LAT","PCT_WHITE","PCT_AI-AN","PCT_ASIAN-PI","PCT_BLACK","PCT_TWO-OR-MORE","PCT_OTHER"
"01003","Alabama","Baldwin","2005","Rehabilitation counselors","Mental health counselors","ALL",19,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,100,NA,NA
"01003","Alabama","Baldwin","0000","Total-Pop","Total-Pop","FEMALE",109386,4424,91183,797,1252,9887,1824,19,4.04,83.36,0.73,1.14,9.04,1.67,0.02
"01003","Alabama","Baldwin","1825","Other psychologists","Psychologists","ALL",83,NA,83,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01003","Alabama","Baldwin","0000","Total-Pop","Total-Pop","ALL",213039,9748,176845,1497,1869,19240,3431,409,4.58,83.01,0.7,0.88,9.03,1.61,0.19
"01015","Alabama","Calhoun/Benton","0000","Total-Pop","Total-Pop","ALL",114818,4282,82832,138,1186,23786,2558,36,3.73,72.14,0.12,1.03,20.72,2.23,0.03
"01015","Alabama","Calhoun/Benton","2004","Mental health counselors","Mental health counselors","ALL",13,NA,13,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01015","Alabama","Calhoun/Benton","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",38,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,100,NA,NA
"01015","Alabama","Calhoun/Benton","2005","Rehabilitation counselors","Mental health counselors","FEMALE",39,NA,39,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01015","Alabama","Calhoun/Benton","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",51,NA,51,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01015","Alabama","Calhoun/Benton","0000","Total-Pop","Total-Pop","FEMALE",59424,1978,42726,69,792,12772,1051,36,3.33,71.9,0.12,1.33,21.49,1.77,0.06
"01015","Alabama","Calhoun/Benton","0000","Total-Pop","Total-Pop","MALE",55394,2304,40106,69,394,11014,1507,NA,4.16,72.4,0.12,0.71,19.88,2.72,NA
"01015","Alabama","Calhoun/Benton","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",11,NA,11,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01015","Alabama","Calhoun/Benton","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",11,NA,11,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01015","Alabama","Calhoun/Benton","2005","Rehabilitation counselors","Mental health counselors","ALL",39,NA,39,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01015","Alabama","Calhoun/Benton","1821","Clinical and counseling psychologists","Psychologists","ALL",36,NA,36,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01015","Alabama","Calhoun/Benton","2004","Mental health counselors","Mental health counselors","FEMALE",13,NA,13,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01015","Alabama","Calhoun/Benton","1821","Clinical and counseling psychologists","Psychologists","FEMALE",36,NA,36,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01015","Alabama","Calhoun/Benton","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",89,NA,51,NA,NA,38,NA,NA,NA,57.3,NA,NA,42.7,NA,NA
"01055","Alabama","Etowah","0000","Total-Pop","Total-Pop","ALL",102745,3979,79909,395,861,16168,1350,83,3.87,77.77,0.38,0.84,15.74,1.31,0.08
"01055","Alabama","Etowah","1822","School psychologists","Psychologists","ALL",4,NA,4,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01055","Alabama","Etowah","1822","School psychologists","Psychologists","FEMALE",4,NA,4,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01055","Alabama","Etowah","0000","Total-Pop","Total-Pop","FEMALE",53329,1913,41195,244,546,8633,715,83,3.59,77.25,0.46,1.02,16.19,1.34,0.16
"01055","Alabama","Etowah","0000","Total-Pop","Total-Pop","MALE",49416,2066,38714,151,315,7535,635,NA,4.18,78.34,0.31,0.64,15.25,1.29,NA
"01073","Alabama","Jefferson","1825","Other psychologists","Psychologists","FEMALE",47,NA,47,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01073","Alabama","Jefferson","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",424,NA,144,NA,NA,280,NA,NA,NA,33.96,NA,NA,66.04,NA,NA
"01073","Alabama","Jefferson","1821","Clinical and counseling psychologists","Psychologists","ALL",119,NA,119,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01073","Alabama","Jefferson","2004","Mental health counselors","Mental health counselors","ALL",234,NA,93,NA,NA,141,NA,NA,NA,39.74,NA,NA,60.26,NA,NA
"01073","Alabama","Jefferson","2003","Marriage and family therapists","Mental health counselors","ALL",89,11,10,NA,NA,68,NA,NA,12.36,11.24,NA,NA,76.4,NA,NA
"01073","Alabama","Jefferson","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",45,NA,23,NA,NA,6,16,NA,NA,51.11,NA,NA,13.33,35.56,NA
"01073","Alabama","Jefferson","1822","School psychologists","Psychologists","ALL",81,NA,81,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01073","Alabama","Jefferson","1822","School psychologists","Psychologists","FEMALE",81,NA,81,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01073","Alabama","Jefferson","2005","Rehabilitation counselors","Mental health counselors","ALL",111,NA,105,NA,NA,6,NA,NA,NA,94.59,NA,NA,5.41,NA,NA
"01073","Alabama","Jefferson","1821","Clinical and counseling psychologists","Psychologists","FEMALE",78,NA,78,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01073","Alabama","Jefferson","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",39,NA,23,NA,NA,NA,16,NA,NA,58.97,NA,NA,NA,41.03,NA
"01073","Alabama","Jefferson","2003","Marriage and family therapists","Mental health counselors","MALE",68,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,100,NA,NA
"01073","Alabama","Jefferson","2005","Rehabilitation counselors","Mental health counselors","FEMALE",89,NA,89,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01073","Alabama","Jefferson","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",163,NA,12,NA,NA,151,NA,NA,NA,7.36,NA,NA,92.64,NA,NA
"01073","Alabama","Jefferson","1825","Other psychologists","Psychologists","ALL",99,NA,88,11,NA,NA,NA,NA,NA,88.89,11.11,NA,NA,NA,NA
"01073","Alabama","Jefferson","2005","Rehabilitation counselors","Mental health counselors","MALE",22,NA,16,NA,NA,6,NA,NA,NA,72.73,NA,NA,27.27,NA,NA
"01073","Alabama","Jefferson","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",261,NA,132,NA,NA,129,NA,NA,NA,50.57,NA,NA,49.43,NA,NA
"01073","Alabama","Jefferson","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","MALE",6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,100,NA,NA
"01073","Alabama","Jefferson","2004","Mental health counselors","Mental health counselors","MALE",72,NA,28,NA,NA,44,NA,NA,NA,38.89,NA,NA,61.11,NA,NA
"01073","Alabama","Jefferson","1825","Other psychologists","Psychologists","MALE",52,NA,41,11,NA,NA,NA,NA,NA,78.85,21.15,NA,NA,NA,NA
"01073","Alabama","Jefferson","2003","Marriage and family therapists","Mental health counselors","FEMALE",21,11,10,NA,NA,NA,NA,NA,52.38,47.62,NA,NA,NA,NA,NA
"01073","Alabama","Jefferson","0000","Total-Pop","Total-Pop","FEMALE",347657,11912,170374,446,5709,153337,5174,705,3.43,49.01,0.13,1.64,44.11,1.49,0.2
"01073","Alabama","Jefferson","0000","Total-Pop","Total-Pop","MALE",311870,13596,158585,676,4936,128997,4415,665,4.36,50.85,0.22,1.58,41.36,1.42,0.21
"01073","Alabama","Jefferson","0000","Total-Pop","Total-Pop","ALL",659527,25508,328959,1122,10645,282334,9589,1370,3.87,49.88,0.17,1.61,42.81,1.45,0.21
"01073","Alabama","Jefferson","2004","Mental health counselors","Mental health counselors","FEMALE",162,NA,65,NA,NA,97,NA,NA,NA,40.12,NA,NA,59.88,NA,NA
"01073","Alabama","Jefferson","1821","Clinical and counseling psychologists","Psychologists","MALE",41,NA,41,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01081","Alabama","Lee","1822","School psychologists","Psychologists","ALL",56,NA,56,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01081","Alabama","Lee","2003","Marriage and family therapists","Mental health counselors","FEMALE",25,NA,25,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01081","Alabama","Lee","1822","School psychologists","Psychologists","FEMALE",56,NA,56,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01081","Alabama","Lee","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",35,NA,35,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01081","Alabama","Lee","2005","Rehabilitation counselors","Mental health counselors","MALE",5,NA,5,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01081","Alabama","Lee","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",71,NA,71,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01081","Alabama","Lee","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",71,NA,71,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01081","Alabama","Lee","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",35,NA,35,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01081","Alabama","Lee","2005","Rehabilitation counselors","Mental health counselors","FEMALE",59,NA,59,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01081","Alabama","Lee","2004","Mental health counselors","Mental health counselors","FEMALE",137,NA,103,NA,NA,34,NA,NA,NA,75.18,NA,NA,24.82,NA,NA
"01081","Alabama","Lee","2005","Rehabilitation counselors","Mental health counselors","ALL",64,NA,64,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01081","Alabama","Lee","2004","Mental health counselors","Mental health counselors","ALL",137,NA,103,NA,NA,34,NA,NA,NA,75.18,NA,NA,24.82,NA,NA
"01081","Alabama","Lee","0000","Total-Pop","Total-Pop","ALL",160880,5941,108437,308,6699,36628,2790,77,3.69,67.4,0.19,4.16,22.77,1.73,0.05
"01081","Alabama","Lee","0000","Total-Pop","Total-Pop","MALE",79220,3289,53987,167,3619,16749,1391,18,4.15,68.15,0.21,4.57,21.14,1.76,0.02
"01081","Alabama","Lee","0000","Total-Pop","Total-Pop","FEMALE",81660,2652,54450,141,3080,19879,1399,59,3.25,66.68,0.17,3.77,24.34,1.71,0.07
"01081","Alabama","Lee","2003","Marriage and family therapists","Mental health counselors","ALL",25,NA,25,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01097","Alabama","Mobile","2005","Rehabilitation counselors","Mental health counselors","FEMALE",18,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,100,NA,NA
"01097","Alabama","Mobile","2004","Mental health counselors","Mental health counselors","MALE",32,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,100,NA,NA
"01097","Alabama","Mobile","1825","Other psychologists","Psychologists","FEMALE",45,NA,26,NA,NA,19,NA,NA,NA,57.78,NA,NA,42.22,NA,NA
"01097","Alabama","Mobile","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",38,NA,38,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01097","Alabama","Mobile","1825","Other psychologists","Psychologists","ALL",45,NA,26,NA,NA,19,NA,NA,NA,57.78,NA,NA,42.22,NA,NA
"01097","Alabama","Mobile","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",82,NA,60,NA,NA,22,NA,NA,NA,73.17,NA,NA,26.83,NA,NA
"01097","Alabama","Mobile","2003","Marriage and family therapists","Mental health counselors","FEMALE",57,NA,28,NA,NA,29,NA,NA,NA,49.12,NA,NA,50.88,NA,NA
"01097","Alabama","Mobile","1822","School psychologists","Psychologists","ALL",35,NA,35,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01097","Alabama","Mobile","1822","School psychologists","Psychologists","FEMALE",35,NA,35,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01097","Alabama","Mobile","0000","Total-Pop","Total-Pop","MALE",196701,5661,114453,1650,3831,67885,2683,538,2.88,58.19,0.84,1.95,34.51,1.36,0.27
"01097","Alabama","Mobile","2005","Rehabilitation counselors","Mental health counselors","ALL",18,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,100,NA,NA
"01097","Alabama","Mobile","0000","Total-Pop","Total-Pop","FEMALE",217299,6288,120961,1508,4238,80034,3495,775,2.89,55.67,0.69,1.95,36.83,1.61,0.36
"01097","Alabama","Mobile","0000","Total-Pop","Total-Pop","ALL",414000,11949,235414,3158,8069,147919,6178,1313,2.89,56.86,0.76,1.95,35.73,1.49,0.32
"01097","Alabama","Mobile","2004","Mental health counselors","Mental health counselors","ALL",97,NA,21,NA,NA,63,13,NA,NA,21.65,NA,NA,64.95,13.4,NA
"01097","Alabama","Mobile","2003","Marriage and family therapists","Mental health counselors","ALL",57,NA,28,NA,NA,29,NA,NA,NA,49.12,NA,NA,50.88,NA,NA
"01097","Alabama","Mobile","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",44,NA,22,NA,NA,22,NA,NA,NA,50,NA,NA,50,NA,NA
"01097","Alabama","Mobile","2004","Mental health counselors","Mental health counselors","FEMALE",65,NA,21,NA,NA,31,13,NA,NA,32.31,NA,NA,47.69,20,NA
"01117","Alabama","Shelby","2004","Mental health counselors","Mental health counselors","ALL",15,NA,6,NA,NA,9,NA,NA,NA,40,NA,NA,60,NA,NA
"01117","Alabama","Shelby","2003","Marriage and family therapists","Mental health counselors","ALL",18,NA,18,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01117","Alabama","Shelby","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",132,NA,132,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01117","Alabama","Shelby","2005","Rehabilitation counselors","Mental health counselors","ALL",19,NA,12,NA,NA,7,NA,NA,NA,63.16,NA,NA,36.84,NA,NA
"01117","Alabama","Shelby","1825","Other psychologists","Psychologists","FEMALE",11,NA,11,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01117","Alabama","Shelby","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",30,NA,30,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01117","Alabama","Shelby","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",165,NA,132,NA,33,NA,NA,NA,NA,80,NA,20,NA,NA,NA
"01117","Alabama","Shelby","1822","School psychologists","Psychologists","FEMALE",15,NA,15,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01117","Alabama","Shelby","1822","School psychologists","Psychologists","ALL",15,NA,15,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01117","Alabama","Shelby","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",30,NA,30,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01117","Alabama","Shelby","2003","Marriage and family therapists","Mental health counselors","FEMALE",18,NA,18,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01117","Alabama","Shelby","2005","Rehabilitation counselors","Mental health counselors","FEMALE",12,NA,12,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01117","Alabama","Shelby","2004","Mental health counselors","Mental health counselors","MALE",6,NA,6,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01117","Alabama","Shelby","2004","Mental health counselors","Mental health counselors","FEMALE",9,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,100,NA,NA
"01117","Alabama","Shelby","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",33,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,100,NA,NA,NA
"01117","Alabama","Shelby","1825","Other psychologists","Psychologists","ALL",36,NA,36,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01117","Alabama","Shelby","1825","Other psychologists","Psychologists","MALE",25,NA,25,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"01117","Alabama","Shelby","0000","Total-Pop","Total-Pop","FEMALE",109980,5642,85786,317,2395,13667,2084,89,5.13,78,0.29,2.18,12.43,1.89,0.08
"01117","Alabama","Shelby","0000","Total-Pop","Total-Pop","ALL",213366,12160,166357,636,4284,25898,3809,222,5.7,77.97,0.3,2.01,12.14,1.79,0.1
"01117","Alabama","Shelby","2005","Rehabilitation counselors","Mental health counselors","MALE",7,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,100,NA,NA
"01117","Alabama","Shelby","0000","Total-Pop","Total-Pop","MALE",103386,6518,80571,319,1889,12231,1725,133,6.3,77.93,0.31,1.83,11.83,1.67,0.13
"02020","Alaska","Anchorage","2003","Marriage and family therapists","Mental health counselors","ALL",20,NA,20,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"02020","Alaska","Anchorage","1822","School psychologists","Psychologists","ALL",42,NA,42,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"02020","Alaska","Anchorage","2004","Mental health counselors","Mental health counselors","MALE",270,NA,193,NA,NA,NA,77,NA,NA,71.48,NA,NA,NA,28.52,NA
"02020","Alaska","Anchorage","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",159,NA,113,46,NA,NA,NA,NA,NA,71.07,28.93,NA,NA,NA,NA
"02020","Alaska","Anchorage","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",24,NA,24,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"02020","Alaska","Anchorage","1825","Other psychologists","Psychologists","ALL",297,NA,274,NA,NA,NA,23,NA,NA,92.26,NA,NA,NA,7.74,NA
"02020","Alaska","Anchorage","2003","Marriage and family therapists","Mental health counselors","MALE",20,NA,20,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"02020","Alaska","Anchorage","1825","Other psychologists","Psychologists","MALE",24,NA,24,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"02020","Alaska","Anchorage","1825","Other psychologists","Psychologists","FEMALE",273,NA,250,NA,NA,NA,23,NA,NA,91.58,NA,NA,NA,8.42,NA
"02020","Alaska","Anchorage","1821","Clinical and counseling psychologists","Psychologists","MALE",36,NA,36,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"02020","Alaska","Anchorage","0000","Total-Pop","Total-Pop","ALL",293597,26862,170388,20876,33834,15579,25117,941,9.15,58.03,7.11,11.52,5.31,8.55,0.32
"02020","Alaska","Anchorage","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",24,NA,24,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"02020","Alaska","Anchorage","1822","School psychologists","Psychologists","MALE",42,NA,42,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"02020","Alaska","Anchorage","0000","Total-Pop","Total-Pop","MALE",149393,13631,89152,9337,16108,8216,12511,438,9.12,59.68,6.25,10.78,5.5,8.37,0.29
"02020","Alaska","Anchorage","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",159,NA,113,46,NA,NA,NA,NA,NA,71.07,28.93,NA,NA,NA,NA
"02020","Alaska","Anchorage","1821","Clinical and counseling psychologists","Psychologists","ALL",36,NA,36,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"02020","Alaska","Anchorage","2004","Mental health counselors","Mental health counselors","FEMALE",45,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,100,NA
"02020","Alaska","Anchorage","0000","Total-Pop","Total-Pop","FEMALE",144204,13231,81236,11539,17726,7363,12606,503,9.18,56.33,8,12.29,5.11,8.74,0.35
"02020","Alaska","Anchorage","2004","Mental health counselors","Mental health counselors","ALL",315,NA,193,NA,NA,NA,122,NA,NA,61.27,NA,NA,NA,38.73,NA
"04005","Arizona","Coconino","0000","Total-Pop","Total-Pop","FEMALE",71064,9537,38207,18874,1554,762,2026,104,13.42,53.76,26.56,2.19,1.07,2.85,0.15
"04005","Arizona","Coconino","1825","Other psychologists","Psychologists","MALE",10,NA,10,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"04005","Arizona","Coconino","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",31,NA,31,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"04005","Arizona","Coconino","0000","Total-Pop","Total-Pop","MALE",70315,10417,38190,17377,1250,901,2152,28,14.81,54.31,24.71,1.78,1.28,3.06,0.04
"04005","Arizona","Coconino","2004","Mental health counselors","Mental health counselors","MALE",58,37,21,NA,NA,NA,NA,NA,63.79,36.21,NA,NA,NA,NA,NA
"04005","Arizona","Coconino","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",33,NA,NA,33,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA
"04005","Arizona","Coconino","0000","Total-Pop","Total-Pop","ALL",141379,19954,76397,36251,2804,1663,4178,132,14.11,54.04,25.64,1.98,1.18,2.96,0.09
"04005","Arizona","Coconino","2004","Mental health counselors","Mental health counselors","FEMALE",32,NA,12,NA,NA,NA,20,NA,NA,37.5,NA,NA,NA,62.5,NA
"04005","Arizona","Coconino","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",31,NA,31,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"04005","Arizona","Coconino","2003","Marriage and family therapists","Mental health counselors","FEMALE",2,NA,NA,2,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA
"04005","Arizona","Coconino","1821","Clinical and counseling psychologists","Psychologists","FEMALE",29,29,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
"04005","Arizona","Coconino","2003","Marriage and family therapists","Mental health counselors","ALL",2,NA,NA,2,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA
"04005","Arizona","Coconino","1825","Other psychologists","Psychologists","ALL",61,18,43,NA,NA,NA,NA,NA,29.51,70.49,NA,NA,NA,NA,NA
"04005","Arizona","Coconino","1821","Clinical and counseling psychologists","Psychologists","ALL",29,29,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
"04005","Arizona","Coconino","1825","Other psychologists","Psychologists","FEMALE",51,18,33,NA,NA,NA,NA,NA,35.29,64.71,NA,NA,NA,NA,NA
"04005","Arizona","Coconino","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",33,NA,NA,33,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA
"04005","Arizona","Coconino","2004","Mental health counselors","Mental health counselors","ALL",90,37,33,NA,NA,NA,20,NA,41.11,36.67,NA,NA,NA,22.22,NA
"04013","Arizona","Maricopa","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","MALE",12,NA,12,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"04013","Arizona","Maricopa","2005","Rehabilitation counselors","Mental health counselors","MALE",230,40,190,NA,NA,NA,NA,NA,17.39,82.61,NA,NA,NA,NA,NA
"04013","Arizona","Maricopa","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",497,83,284,NA,NA,69,16,45,16.7,57.14,NA,NA,13.88,3.22,9.05
"04013","Arizona","Maricopa","2004","Mental health counselors","Mental health counselors","MALE",556,157,381,2,NA,16,NA,NA,28.24,68.53,0.36,NA,2.88,NA,NA
"04013","Arizona","Maricopa","2003","Marriage and family therapists","Mental health counselors","MALE",117,49,68,NA,NA,NA,NA,NA,41.88,58.12,NA,NA,NA,NA,NA
"04013","Arizona","Maricopa","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",1024,205,682,31,NA,106,NA,NA,20.02,66.6,3.03,NA,10.35,NA,NA
"04013","Arizona","Maricopa","0000","Total-Pop","Total-Pop","ALL",4329460,1342610,2391723,69582,184378,230474,103680,7013,31.01,55.24,1.61,4.26,5.32,2.39,0.16
"04013","Arizona","Maricopa","1822","School psychologists","Psychologists","FEMALE",671,29,584,NA,22,36,NA,NA,4.32,87.03,NA,3.28,5.37,NA,NA
"04013","Arizona","Maricopa","2003","Marriage and family therapists","Mental health counselors","FEMALE",457,84,308,NA,NA,65,NA,NA,18.38,67.4,NA,NA,14.22,NA,NA
"04013","Arizona","Maricopa","1822","School psychologists","Psychologists","MALE",268,81,114,NA,73,NA,NA,NA,30.22,42.54,NA,27.24,NA,NA,NA
"04013","Arizona","Maricopa","0000","Total-Pop","Total-Pop","FEMALE",2188129,669384,1214972,37132,97392,115038,51001,3210,30.59,55.53,1.7,4.45,5.26,2.33,0.15
"04013","Arizona","Maricopa","1825","Other psychologists","Psychologists","FEMALE",1157,64,976,NA,47,70,NA,NA,5.53,84.36,NA,4.06,6.05,NA,NA
