"GEOID","GEONAME","PROFLN","TITLE","GENDER","OCC_CODE","OCC_DESCRIPTION","TOTAL","HISP_LAT","WHITE","BLACK","AM_ID","ASIAN","HI_PI","OTHER","PCT_HISP_LAT","PCT_WHITE","PCT_BLACKT","PCT_AM_ID","PCT_ASIAN","PCT_HI_PI","PCT_OTHER"
"05000US01049","DeKalb County, Alabama",1,"Number","Total","0","Total, all occupations",24030,2255,20280,510,445,115,4,415,9.38,84.39,2.12,1.85,0.48,0.02,1.73
"05000US01049","DeKalb County, Alabama",3,"Number","Men","0","Total, all occupations",13595,1395,11465,170,270,65,0,230,10.26,84.33,1.25,1.99,0.48,0,1.69
"05000US01049","DeKalb County, Alabama",5,"Number","Women","0","Total, all occupations",10435,865,8815,340,180,50,4,185,8.29,84.48,3.26,1.72,0.48,0.04,1.77
"05000US01051","Elmore County, Alabama",1,"Number","Total","0","Total, all occupations",19160,510,12830,5540,20,155,0,100,2.66,66.96,28.91,0.1,0.81,0,0.52
"05000US01051","Elmore County, Alabama",3,"Number","Men","0","Total, all occupations",8695,270,6270,1935,20,135,0,65,3.11,72.11,22.25,0.23,1.55,0,0.75
"05000US01051","Elmore County, Alabama",5,"Number","Women","0","Total, all occupations",10465,240,6565,3605,0,25,0,35,2.29,62.73,34.45,0,0.24,0,0.33
"05000US01055","Etowah County, Alabama",1,"Number","Total","0","Total, all occupations",36780,1350,29250,5330,155,355,25,315,3.67,79.53,14.49,0.42,0.97,0.07,0.86
"05000US01055","Etowah County, Alabama",3,"Number","Men","0","Total, all occupations",18770,910,14965,2370,65,255,0,210,4.85,79.73,12.63,0.35,1.36,0,1.12
"05000US01055","Etowah County, Alabama",5,"Number","Women","0","Total, all occupations",18010,445,14290,2960,90,100,25,105,2.47,79.34,16.44,0.5,0.56,0.14,0.58
"05000US01069","Houston County, Alabama",1,"Number","Total","0","Total, all occupations",51000,2045,36240,11535,75,355,4,745,4.01,71.06,22.62,0.15,0.7,0.01,1.46
"05000US01069","Houston County, Alabama",3,"Number","Men","0","Total, all occupations",25305,1275,18510,4935,30,175,0,380,5.04,73.15,19.5,0.12,0.69,0,1.5
"05000US01069","Houston County, Alabama",5,"Number","Women","0","Total, all occupations",25695,770,17730,6600,45,180,4,370,3,69,25.69,0.18,0.7,0.02,1.44
"05000US01071","Jackson County, Alabama",1,"Number","Total","0","Total, all occupations",16825,785,14825,680,70,60,70,335,4.67,88.11,4.04,0.42,0.36,0.42,1.99
"05000US01071","Jackson County, Alabama",3,"Number","Men","0","Total, all occupations",9020,590,7940,335,10,45,4,95,6.54,88.03,3.71,0.11,0.5,0.04,1.05
"05000US01071","Jackson County, Alabama",5,"Number","Women","0","Total, all occupations",7810,195,6890,345,65,15,65,240,2.5,88.22,4.42,0.83,0.19,0.83,3.07
"05000US01073","Jefferson County, Alabama",1,"Number","Total","0","Total, all occupations",360205,13495,219155,115915,780,6360,120,4380,3.75,60.84,32.18,0.22,1.77,0.03,1.22
"05000US01073","Jefferson County, Alabama",3,"Number","Men","0","Total, all occupations",184800,8645,119870,50630,410,3140,90,2015,4.68,64.86,27.4,0.22,1.7,0.05,1.09
"05000US01073","Jefferson County, Alabama",5,"Number","Women","0","Total, all occupations",175405,4850,99285,65285,370,3220,30,2365,2.77,56.6,37.22,0.21,1.84,0.02,1.35
"05000US01077","Lauderdale County, Alabama",1,"Number","Total","0","Total, all occupations",34715,955,29370,3630,100,270,4,385,2.75,84.6,10.46,0.29,0.78,0.01,1.11
"05000US01077","Lauderdale County, Alabama",3,"Number","Men","0","Total, all occupations",16770,620,14000,1745,35,140,0,230,3.7,83.48,10.41,0.21,0.83,0,1.37
"05000US01077","Lauderdale County, Alabama",5,"Number","Women","0","Total, all occupations",17945,335,15370,1885,65,130,4,155,1.87,85.65,10.5,0.36,0.72,0.02,0.86
"05000US01081","Lee County, Alabama",1,"Number","Total","0","Total, all occupations",61920,2350,39815,16555,70,2380,0,745,3.8,64.3,26.74,0.11,3.84,0,1.2
"05000US01081","Lee County, Alabama",3,"Number","Men","0","Total, all occupations",32115,1640,20940,7705,55,1365,0,410,5.11,65.2,23.99,0.17,4.25,0,1.28
"05000US01081","Lee County, Alabama",5,"Number","Women","0","Total, all occupations",29805,710,18875,8850,15,1015,0,335,2.38,63.33,29.69,0.05,3.41,0,1.12
"05000US01083","Limestone County, Alabama",1,"Number","Total","0","Total, all occupations",27380,1155,21375,3760,330,255,0,500,4.22,78.07,13.73,1.21,0.93,0,1.83
"05000US01083","Limestone County, Alabama",3,"Number","Men","0","Total, all occupations",15550,820,12450,1715,235,115,0,205,5.27,80.06,11.03,1.51,0.74,0,1.32
"05000US01083","Limestone County, Alabama",5,"Number","Women","0","Total, all occupations",11830,335,8925,2045,95,140,0,295,2.83,75.44,17.29,0.8,1.18,0,2.49
"05000US01089","Madison County, Alabama",1,"Number","Total","0","Total, all occupations",203150,9260,141650,41000,1315,5000,190,4735,4.56,69.73,20.18,0.65,2.46,0.09,2.33
"05000US01089","Madison County, Alabama",3,"Number","Men","0","Total, all occupations",110385,5770,79995,18550,660,2940,100,2365,5.23,72.47,16.8,0.6,2.66,0.09,2.14
"05000US01089","Madison County, Alabama",5,"Number","Women","0","Total, all occupations",92765,3495,61650,22450,655,2060,90,2365,3.77,66.46,24.2,0.71,2.22,0.1,2.55
"05000US01095","Marshall County, Alabama",1,"Number","Total","0","Total, all occupations",38770,4420,32090,1265,175,320,20,485,11.4,82.77,3.26,0.45,0.83,0.05,1.25
"05000US01095","Marshall County, Alabama",3,"Number","Men","0","Total, all occupations",20965,2895,16770,770,110,130,20,265,13.81,79.99,3.67,0.52,0.62,0.1,1.26
"05000US01095","Marshall County, Alabama",5,"Number","Women","0","Total, all occupations",17810,1520,15320,490,65,190,0,220,8.53,86.02,2.75,0.36,1.07,0,1.24
"05000US01097","Mobile County, Alabama",1,"Number","Total","0","Total, all occupations",180975,5910,115010,51850,1275,4240,65,2635,3.27,63.55,28.65,0.7,2.34,0.04,1.46
"05000US01097","Mobile County, Alabama",3,"Number","Men","0","Total, all occupations",93020,3440,63565,22180,620,1980,65,1165,3.7,68.33,23.84,0.67,2.13,0.07,1.25
"05000US01097","Mobile County, Alabama",5,"Number","Women","0","Total, all occupations",87955,2470,51440,29670,650,2255,0,1470,2.81,58.48,33.73,0.74,2.56,0,1.67
"05000US01101","Montgomery County, Alabama",1,"Number","Total","0","Total, all occupations",131225,3910,64180,58645,285,2450,30,1725,2.98,48.91,44.69,0.22,1.87,0.02,1.31
"05000US01101","Montgomery County, Alabama",3,"Number","Men","0","Total, all occupations",67400,2635,35810,26440,210,1440,20,845,3.91,53.13,39.23,0.31,2.14,0.03,1.25
"05000US01101","Montgomery County, Alabama",5,"Number","Women","0","Total, all occupations",63825,1275,28370,32205,75,1010,15,880,2,44.45,50.46,0.12,1.58,0.02,1.38
"05000US01103","Morgan County, Alabama",1,"Number","Total","0","Total, all occupations",51380,3335,39735,6675,550,315,10,760,6.49,77.34,12.99,1.07,0.61,0.02,1.48
"05000US01103","Morgan County, Alabama",3,"Number","Men","0","Total, all occupations",29115,2355,22760,3230,275,145,10,335,8.09,78.17,11.09,0.94,0.5,0.03,1.15
"05000US01103","Morgan County, Alabama",5,"Number","Women","0","Total, all occupations",22270,985,16970,3445,270,170,0,425,4.42,76.2,15.47,1.21,0.76,0,1.91
"05000US01113","Russell County, Alabama",1,"Number","Total","0","Total, all occupations",15165,940,8065,5805,25,55,0,280,6.2,53.18,38.28,0.16,0.36,0,1.85
"05000US01113","Russell County, Alabama",3,"Number","Men","0","Total, all occupations",8270,530,4735,2850,25,45,0,80,6.41,57.26,34.46,0.3,0.54,0,0.97
"05000US01113","Russell County, Alabama",5,"Number","Women","0","Total, all occupations",6895,405,3330,2955,0,4,0,200,5.87,48.3,42.86,0,0.06,0,2.9
"05000US01115","St. Clair County, Alabama",1,"Number","Total","0","Total, all occupations",22885,755,17705,4005,45,225,20,130,3.3,77.37,17.5,0.2,0.98,0.09,0.57
"05000US01115","St. Clair County, Alabama",3,"Number","Men","0","Total, all occupations",11730,430,9325,1730,40,110,20,75,3.67,79.5,14.75,0.34,0.94,0.17,0.64
"05000US01115","St. Clair County, Alabama",5,"Number","Women","0","Total, all occupations",11155,325,8385,2275,4,115,0,55,2.91,75.17,20.39,0.04,1.03,0,0.49
"05000US01117","Shelby County, Alabama",1,"Number","Total","0","Total, all occupations",87235,4605,65835,13930,275,1250,4,1330,5.28,75.47,15.97,0.32,1.43,0,1.52
"05000US01117","Shelby County, Alabama",3,"Number","Men","0","Total, all occupations",46190,2960,35600,5840,50,825,4,905,6.41,77.07,12.64,0.11,1.79,0.01,1.96
"05000US01117","Shelby County, Alabama",5,"Number","Women","0","Total, all occupations",41045,1645,30235,8090,225,425,0,420,4.01,73.66,19.71,0.55,1.04,0,1.02
"05000US01121","Talladega County, Alabama",1,"Number","Total","0","Total, all occupations",32850,415,22895,8810,130,315,0,285,1.26,69.7,26.82,0.4,0.96,0,0.87
"05000US01121","Talladega County, Alabama",3,"Number","Men","0","Total, all occupations",18045,255,13330,4095,110,150,0,100,1.41,73.87,22.69,0.61,0.83,0,0.55
"05000US01121","Talladega County, Alabama",5,"Number","Women","0","Total, all occupations",14805,160,9565,4715,20,165,0,180,1.08,64.61,31.85,0.14,1.11,0,1.22
"05000US01125","Tuscaloosa County, Alabama",1,"Number","Total","0","Total, all occupations",100020,3555,62630,31510,80,1375,10,865,3.55,62.62,31.5,0.08,1.37,0.01,0.86
"05000US01125","Tuscaloosa County, Alabama",3,"Number","Men","0","Total, all occupations",53190,2390,34865,14605,20,820,0,490,4.49,65.55,27.46,0.04,1.54,0,0.92
"05000US01125","Tuscaloosa County, Alabama",5,"Number","Women","0","Total, all occupations",46830,1165,27765,16905,55,555,10,375,2.49,59.29,36.1,0.12,1.19,0.02,0.8
"05000US01127","Walker County, Alabama",1,"Number","Total","0","Total, all occupations",20425,570,18205,1270,50,150,0,175,2.79,89.13,6.22,0.24,0.73,0,0.86
"05000US01127","Walker County, Alabama",3,"Number","Men","0","Total, all occupations",10070,395,9095,470,15,40,0,55,3.92,90.32,4.67,0.15,0.4,0,0.55
"05000US01127","Walker County, Alabama",5,"Number","Women","0","Total, all occupations",10355,175,9110,800,35,110,0,120,1.69,87.98,7.73,0.34,1.06,0,1.16
"05000US02020","Anchorage Municipality, Alaska",1,"Number","Total","0","Total, all occupations",155805,11855,102430,7485,7590,13775,2875,9800,7.61,65.74,4.8,4.87,8.84,1.85,6.29
"05000US02020","Anchorage Municipality, Alaska",3,"Number","Men","0","Total, all occupations",83775,6325,57015,4080,3335,6325,1355,5340,7.55,68.06,4.87,3.98,7.55,1.62,6.37
"05000US02020","Anchorage Municipality, Alaska",5,"Number","Women","0","Total, all occupations",72030,5530,45415,3410,4255,7450,1520,4455,7.68,63.05,4.73,5.91,10.34,2.11,6.18
"05000US02090","Fairbanks North Star Borough, Alaska",1,"Number","Total","0","Total, all occupations",44760,2590,34220,1800,2355,1335,195,2265,5.79,76.45,4.02,5.26,2.98,0.44,5.06
"05000US02090","Fairbanks North Star Borough, Alaska",3,"Number","Men","0","Total, all occupations",24065,1260,19090,1125,970,570,125,925,5.24,79.33,4.67,4.03,2.37,0.52,3.84
"05000US02090","Fairbanks North Star Borough, Alaska",5,"Number","Women","0","Total, all occupations",20695,1330,15125,675,1385,765,70,1345,6.43,73.09,3.26,6.69,3.7,0.34,6.5
"05000US02122","Kenai Peninsula Borough, Alaska",1,"Number","Total","0","Total, all occupations",23870,1130,19670,80,1285,490,65,1150,4.73,82.4,0.34,5.38,2.05,0.27,4.82
"05000US02122","Kenai Peninsula Borough, Alaska",3,"Number","Men","0","Total, all occupations",12655,580,10580,55,530,190,50,670,4.58,83.6,0.43,4.19,1.5,0.4,5.29
"05000US02122","Kenai Peninsula Borough, Alaska",5,"Number","Women","0","Total, all occupations",11215,550,9090,25,755,300,15,480,4.9,81.05,0.22,6.73,2.67,0.13,4.28
"05000US02170","Matanuska-Susitna Borough, Alaska",1,"Number","Total","0","Total, all occupations",29780,1315,24680,380,1330,590,50,1430,4.42,82.87,1.28,4.47,1.98,0.17,4.8
"05000US02170","Matanuska-Susitna Borough, Alaska",3,"Number","Men","0","Total, all occupations",14550,720,11950,280,645,195,10,760,4.95,82.13,1.92,4.43,1.34,0.07,5.22
"05000US02170","Matanuska-Susitna Borough, Alaska",5,"Number","Women","0","Total, all occupations",15225,595,12735,100,690,395,40,670,3.91,83.65,0.66,4.53,2.59,0.26,4.4
"05000US04001","Apache County, Arizona",1,"Number","Total","0","Total, all occupations",16665,1050,4210,205,10885,130,4,180,6.3,25.26,1.23,65.32,0.78,0.02,1.08
"05000US04001","Apache County, Arizona",3,"Number","Men","0","Total, all occupations",7505,540,2260,140,4380,80,4,100,7.2,30.11,1.87,58.36,1.07,0.05,1.33
"05000US04001","Apache County, Arizona",5,"Number","Women","0","Total, all occupations",9160,505,1950,65,6505,55,0,75,5.51,21.29,0.71,71.02,0.6,0,0.82
"05000US04003","Cochise County, Arizona",1,"Number","Total","0","Total, all occupations",41615,14665,23420,1495,300,890,90,755,35.24,56.28,3.59,0.72,2.14,0.22,1.81
"05000US04003","Cochise County, Arizona",3,"Number","Men","0","Total, all occupations",21890,7950,12240,730,80,470,50,365,36.32,55.92,3.33,0.37,2.15,0.23,1.67
"05000US04003","Cochise County, Arizona",5,"Number","Women","0","Total, all occupations",19730,6715,11180,765,215,420,40,390,34.03,56.66,3.88,1.09,2.13,0.2,1.98
"05000US04005","Coconino County, Arizona",1,"Number","Total","0","Total, all occupations",64450,9275,39280,655,12595,1210,120,1315,14.39,60.95,1.02,19.54,1.88,0.19,2.04
"05000US04005","Coconino County, Arizona",3,"Number","Men","0","Total, all occupations",32310,5370,20280,325,5310,425,85,515,16.62,62.77,1.01,16.43,1.32,0.26,1.59
"05000US04005","Coconino County, Arizona",5,"Number","Women","0","Total, all occupations",32140,3910,19000,330,7280,785,40,795,12.17,59.12,1.03,22.65,2.44,0.12,2.47
"05000US04007","Gila County, Arizona",1,"Number","Total","0","Total, all occupations",18410,4135,11625,110,2090,250,0,200,22.46,63.15,0.6,11.35,1.36,0,1.09
"05000US04007","Gila County, Arizona",3,"Number","Men","0","Total, all occupations",10035,2480,6185,90,975,120,0,190,24.71,61.63,0.9,9.72,1.2,0,1.89
"05000US04007","Gila County, Arizona",5,"Number","Women","0","Total, all occupations",8380,1655,5440,25,1115,130,0,10,19.75,64.92,0.3,13.31,1.55,0,0.12
"05000US04013","Maricopa County, Arizona",1,"Number","Total","0","Total, all occupations",2013095,577730,1169005,104565,31120,86475,4240,39960,28.7,58.07,5.19,1.55,4.3,0.21,1.99
"05000US04013","Maricopa County, Arizona",3,"Number","Men","0","Total, all occupations",1085870,326585,621800,54635,14900,45375,2375,20195,30.08,57.26,5.03,1.37,4.18,0.22,1.86
"05000US04013","Maricopa County, Arizona",5,"Number","Women","0","Total, all occupations",927225,251145,547205,49925,16220,41100,1865,19765,27.09,59.02,5.38,1.75,4.43,0.2,2.13
"05000US04015","Mohave County, Arizona",1,"Number","Total","0","Total, all occupations",58525,11240,43440,455,1390,1155,90,750,19.21,74.22,0.78,2.38,1.97,0.15,1.28
"05000US04015","Mohave County, Arizona",3,"Number","Men","0","Total, all occupations",29745,6370,21580,270,490,525,90,415,21.42,72.55,0.91,1.65,1.77,0.3,1.4
"05000US04015","Mohave County, Arizona",5,"Number","Women","0","Total, all occupations",28785,4870,21860,185,900,630,0,335,16.92,75.94,0.64,3.13,2.19,0,1.16
"05000US04017","Navajo County, Arizona",1,"Number","Total","0","Total, all occupations",33070,3960,16765,160,11185,350,45,605,11.97,50.7,0.48,33.82,1.06,0.14,1.83
"05000US04017","Navajo County, Arizona",3,"Number","Men","0","Total, all occupations",16675,2205,9000,115,4915,170,10,265,13.22,53.97,0.69,29.48,1.02,0.06,1.59
"05000US04017","Navajo County, Arizona",5,"Number","Women","0","Total, all occupations",16395,1755,7765,45,6270,180,35,345,10.7,47.36,0.27,38.24,1.1,0.21,2.1
"05000US04019","Pima County, Arizona",1,"Number","Total","0","Total, all occupations",429470,159675,226090,13445,8045,13365,610,8245,37.18,52.64,3.13,1.87,3.11,0.14,1.92
"05000US04019","Pima County, Arizona",3,"Number","Men","0","Total, all occupations",224085,84060,117380,7505,3865,6895,315,4070,37.51,52.38,3.35,1.72,3.08,0.14,1.82
"05000US04019","Pima County, Arizona",5,"Number","Women","0","Total, all occupations",205385,75615,108710,5940,4180,6470,295,4175,36.82,52.93,2.89,2.04,3.15,0.14,2.03
"05000US04021","Pinal County, Arizona",1,"Number","Total","0","Total, all occupations",94315,33775,49680,3210,3605,1735,215,2100,35.81,52.67,3.4,3.82,1.84,0.23,2.23
"05000US04021","Pinal County, Arizona",3,"Number","Men","0","Total, all occupations",48815,18195,25010,1735,1755,795,105,1225,37.27,51.23,3.55,3.6,1.63,0.22,2.51
"05000US04021","Pinal County, Arizona",5,"Number","Women","0","Total, all occupations",45500,15580,24670,1475,1850,940,110,875,34.24,54.22,3.24,4.07,2.07,0.24,1.92
"05000US04025","Yavapai County, Arizona",1,"Number","Total","0","Total, all occupations",78305,12300,62440,550,1025,740,50,1210,15.71,79.74,0.7,1.31,0.95,0.06,1.55
"05000US04025","Yavapai County, Arizona",3,"Number","Men","0","Total, all occupations",40615,7335,31500,260,560,425,4,540,18.06,77.56,0.64,1.38,1.05,0.01,1.33
"05000US04025","Yavapai County, Arizona",5,"Number","Women","0","Total, all occupations",37690,4965,30945,290,465,315,45,670,13.17,82.1,0.77,1.23,0.84,0.12,1.78
"05000US04027","Yuma County, Arizona",1,"Number","Total","0","Total, all occupations",71320,48015,19015,1855,575,975,30,855,67.32,26.66,2.6,0.81,1.37,0.04,1.2
"05000US04027","Yuma County, Arizona",3,"Number","Men","0","Total, all occupations",41165,27630,10770,1360,285,485,25,610,67.12,26.16,3.3,0.69,1.18,0.06,1.48
"05000US04027","Yuma County, Arizona",5,"Number","Women","0","Total, all occupations",30155,20390,8245,495,290,495,4,240,67.62,27.34,1.64,0.96,1.64,0.01,0.8
"05000US05007","Benton County, Arkansas",1,"Number","Total","0","Total, all occupations",131045,20510,96590,2615,2375,5420,585,2945,15.65,73.71,2,1.81,4.14,0.45,2.25
"05000US05007","Benton County, Arkansas",3,"Number","Men","0","Total, all occupations",72170,11985,51805,1555,1155,3420,420,1830,16.61,71.78,2.15,1.6,4.74,0.58,2.54
"05000US05007","Benton County, Arkansas",5,"Number","Women","0","Total, all occupations",58875,8525,44785,1060,1220,2000,170,1115,14.48,76.07,1.8,2.07,3.4,0.29,1.89
"05000US05031","Craighead County, Arkansas",1,"Number","Total","0","Total, all occupations",52445,2120,42685,6245,55,295,65,985,4.04,81.39,11.91,0.1,0.56,0.12,1.88
"05000US05031","Craighead County, Arkansas",3,"Number","Men","0","Total, all occupations",27195,1400,22465,2700,10,150,65,410,5.15,82.61,9.93,0.04,0.55,0.24,1.51
"05000US05031","Craighead County, Arkansas",5,"Number","Women","0","Total, all occupations",25250,715,20220,3545,50,145,0,575,2.83,80.08,14.04,0.2,0.57,0,2.28
"05000US05033","Crawford County, Arkansas",1,"Number","Total","0","Total, all occupations",19015,2285,14995,450,315,530,0,440,12.02,78.86,2.37,1.66,2.79,0,2.31
"05000US05033","Crawford County, Arkansas",3,"Number","Men","0","Total, all occupations",10365,1265,8280,255,160,205,0,195,12.2,79.88,2.46,1.54,1.98,0,1.88
"05000US05033","Crawford County, Arkansas",5,"Number","Women","0","Total, all occupations",8655,1015,6715,195,155,330,0,245,11.73,77.59,2.25,1.79,3.81,0,2.83
"05000US05045","Faulkner County, Arkansas",1,"Number","Total","0","Total, all occupations",46010,1995,36985,5665,85,465,55,755,4.34,80.38,12.31,0.18,1.01,0.12,1.64
"05000US05045","Faulkner County, Arkansas",3,"Number","Men","0","Total, all occupations",24170,1300,19405,2680,60,280,55,395,5.38,80.29,11.09,0.25,1.16,0.23,1.63
"05000US05045","Faulkner County, Arkansas",5,"Number","Women","0","Total, all occupations",21845,695,17585,2985,30,190,0,360,3.18,80.5,13.66,0.14,0.87,0,1.65
"05000US05051","Garland County, Arkansas",1,"Number","Total","0","Total, all occupations",40520,2235,34165,3075,180,175,0,695,5.52,84.32,7.59,0.44,0.43,0,1.72
"05000US05051","Garland County, Arkansas",3,"Number","Men","0","Total, all occupations",20325,1360,17120,1305,110,50,0,385,6.69,84.23,6.42,0.54,0.25,0,1.89
"05000US05051","Garland County, Arkansas",5,"Number","Women","0","Total, all occupations",20195,875,17045,1770,75,125,0,310,4.33,84.4,8.76,0.37,0.62,0,1.54
"05000US05069","Jefferson County, Arkansas",1,"Number","Total","0","Total, all occupations",27230,395,12760,13050,4,730,0,290,1.45,46.86,47.93,0.01,2.68,0,1.07
"05000US05069","Jefferson County, Arkansas",3,"Number","Men","0","Total, all occupations",13495,285,7180,5540,0,440,0,55,2.11,53.2,41.05,0,3.26,0,0.41
"05000US05069","Jefferson County, Arkansas",5,"Number","Women","0","Total, all occupations",13735,110,5580,7515,4,290,0,235,0.8,40.63,54.71,0.03,2.11,0,1.71
"05000US05085","Lonoke County, Arkansas",1,"Number","Total","0","Total, all occupations",15960,545,13720,1375,10,150,0,160,3.41,85.96,8.62,0.06,0.94,0,1
"05000US05085","Lonoke County, Arkansas",3,"Number","Men","0","Total, all occupations",8170,375,6885,815,10,40,0,45,4.59,84.27,9.98,0.12,0.49,0,0.55
"05000US05085","Lonoke County, Arkansas",5,"Number","Women","0","Total, all occupations",7795,165,6835,560,4,115,0,115,2.12,87.68,7.18,0.05,1.48,0,1.48
"05000US05115","Pope County, Arkansas",1,"Number","Total","0","Total, all occupations",28555,2570,24565,725,85,235,0,375,9,86.03,2.54,0.3,0.82,0,1.31
"05000US05115","Pope County, Arkansas",3,"Number","Men","0","Total, all occupations",14510,1475,12310,370,45,125,0,185,10.17,84.84,2.55,0.31,0.86,0,1.27
"05000US05115","Pope County, Arkansas",5,"Number","Women","0","Total, all occupations",14050,1095,12255,360,40,110,0,195,7.79,87.22,2.56,0.28,0.78,0,1.39
"05000US05119","Pulaski County, Arkansas",1,"Number","Total","0","Total, all occupations",251245,12200,164045,64630,745,4885,100,4640,4.86,65.29,25.72,0.3,1.94,0.04,1.85
"05000US05119","Pulaski County, Arkansas",3,"Number","Men","0","Total, all occupations",129080,8085,87230,28675,510,2460,55,2075,6.26,67.58,22.21,0.4,1.91,0.04,1.61
"05000US05119","Pulaski County, Arkansas",5,"Number","Women","0","Total, all occupations",122165,4115,76815,35960,235,2425,45,2570,3.37,62.88,29.44,0.19,1.99,0.04,2.1
"05000US05125","Saline County, Arkansas",1,"Number","Total","0","Total, all occupations",29475,1045,25125,2300,50,415,15,525,3.55,85.24,7.8,0.17,1.41,0.05,1.78
"05000US05125","Saline County, Arkansas",3,"Number","Men","0","Total, all occupations",15905,770,13415,1125,30,210,10,340,4.84,84.34,7.07,0.19,1.32,0.06,2.14
"05000US05125","Saline County, Arkansas",5,"Number","Women","0","Total, all occupations",13570,275,11710,1175,20,205,4,180,2.03,86.29,8.66,0.15,1.51,0.03,1.33
"05000US05131","Sebastian County, Arkansas",1,"Number","Total","0","Total, all occupations",70395,6300,53910,3225,1630,2865,10,2455,8.95,76.58,4.58,2.32,4.07,0.01,3.49
"05000US05131","Sebastian County, Arkansas",3,"Number","Men","0","Total, all occupations",37060,3635,28575,1510,785,1275,10,1275,9.81,77.1,4.07,2.12,3.44,0.03,3.44
"05000US05131","Sebastian County, Arkansas",5,"Number","Women","0","Total, all occupations",33330,2660,25335,1715,845,1590,0,1185,7.98,76.01,5.15,2.54,4.77,0,3.56
"05000US05143","Washington County, Arkansas",1,"Number","Total","0","Total, all occupations",110745,16750,82290,3150,1180,2700,1990,2685,15.12,74.31,2.84,1.07,2.44,1.8,2.42
"05000US05143","Washington County, Arkansas",3,"Number","Men","0","Total, all occupations",60400,9635,44470,1715,580,1585,1020,1390,15.95,73.63,2.84,0.96,2.62,1.69,2.3
