"STATEFIP","STATE_NAME","OCC","OCCUPATION","OCCUPATION_BROAD","GENDER","TOTAL_POP","HISP-LAT","WHITE","AI-AN","ASIAN-PI","BLACK","TWO-OR-MORE","OTHER","PCT_HISP-LAT","PCT_WHITE","PCT_AI-AN","PCT_ASIAN-PI","PCT_BLACK","PCT_TWO-OR-MORE","PCT_OTHER"
"02","Alaska","1825","Other psychologists","Psychologists","FEMALE",385,NA,362,NA,NA,NA,23,NA,NA,94.03,NA,NA,NA,5.97,NA
"02","Alaska","1821","Clinical and counseling psychologists","Psychologists","ALL",61,NA,61,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"02","Alaska","1822","School psychologists","Psychologists","ALL",126,11,115,NA,NA,NA,NA,NA,8.73,91.27,NA,NA,NA,NA,NA
"02","Alaska","1825","Other psychologists","Psychologists","ALL",474,NA,451,NA,NA,NA,23,NA,NA,95.15,NA,NA,NA,4.85,NA
"02","Alaska","2005","Rehabilitation counselors","Mental health counselors","FEMALE",95,NA,82,13,NA,NA,NA,NA,NA,86.32,13.68,NA,NA,NA,NA
"02","Alaska","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",37,NA,31,NA,NA,6,NA,NA,NA,83.78,NA,NA,16.22,NA,NA
"02","Alaska","0000","Total-Pop","Total-Pop","FEMALE",352223,24562,209820,52448,27343,9712,27319,1019,6.97,59.57,14.89,7.76,2.76,7.76,0.29
"02","Alaska","0000","Total-Pop","Total-Pop","MALE",384845,27334,238031,52769,25461,12608,27999,643,7.1,61.85,13.71,6.62,3.28,7.28,0.17
"02","Alaska","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",80,NA,74,NA,NA,6,NA,NA,NA,92.5,NA,NA,7.5,NA,NA
"02","Alaska","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",234,NA,164,70,NA,NA,NA,NA,NA,70.09,29.91,NA,NA,NA,NA
"02","Alaska","2003","Marriage and family therapists","Mental health counselors","MALE",151,NA,151,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"02","Alaska","2004","Mental health counselors","Mental health counselors","MALE",321,NA,239,NA,5,NA,77,NA,NA,74.45,NA,1.56,NA,23.99,NA
"02","Alaska","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","MALE",43,NA,43,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"02","Alaska","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",397,NA,234,158,NA,NA,5,NA,NA,58.94,39.8,NA,NA,1.26,NA
"02","Alaska","2003","Marriage and family therapists","Mental health counselors","ALL",181,NA,167,14,NA,NA,NA,NA,NA,92.27,7.73,NA,NA,NA,NA
"02","Alaska","2004","Mental health counselors","Mental health counselors","ALL",427,10,278,4,5,NA,130,NA,2.34,65.11,0.94,1.17,NA,30.44,NA
"02","Alaska","2005","Rehabilitation counselors","Mental health counselors","ALL",95,NA,82,13,NA,NA,NA,NA,NA,86.32,13.68,NA,NA,NA,NA
"02","Alaska","1822","School psychologists","Psychologists","MALE",92,NA,92,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"02","Alaska","0000","Total-Pop","Total-Pop","ALL",737068,51896,447851,105217,52804,22320,55318,1662,7.04,60.76,14.28,7.16,3.03,7.51,0.23
"04","Arizona","1825","Other psychologists","Psychologists","FEMALE",1760,101,1520,NA,47,92,NA,NA,5.74,86.36,NA,2.67,5.23,NA,NA
"04","Arizona","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",1501,388,934,55,NA,124,NA,NA,25.85,62.23,3.66,NA,8.26,NA,NA
"04","Arizona","1821","Clinical and counseling psychologists","Psychologists","FEMALE",361,89,272,NA,NA,NA,NA,NA,24.65,75.35,NA,NA,NA,NA,NA
"04","Arizona","1822","School psychologists","Psychologists","FEMALE",984,125,801,NA,22,36,NA,NA,12.7,81.4,NA,2.24,3.66,NA,NA
"04","Arizona","1822","School psychologists","Psychologists","ALL",1308,206,971,NA,95,36,NA,NA,15.75,74.24,NA,7.26,2.75,NA,NA
"04","Arizona","1825","Other psychologists","Psychologists","ALL",2744,181,2300,NA,88,118,57,NA,6.6,83.82,NA,3.21,4.3,2.08,NA
"04","Arizona","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",2485,585,1409,55,NA,353,38,45,23.54,56.7,2.21,NA,14.21,1.53,1.81
"04","Arizona","2003","Marriage and family therapists","Mental health counselors","ALL",715,198,437,15,NA,65,NA,NA,27.69,61.12,2.1,NA,9.09,NA,NA
"04","Arizona","2004","Mental health counselors","Mental health counselors","ALL",2233,484,1459,101,104,59,26,NA,21.67,65.34,4.52,4.66,2.64,1.16,NA
"04","Arizona","2005","Rehabilitation counselors","Mental health counselors","ALL",900,138,621,90,46,NA,5,NA,15.33,69,10,5.11,NA,0.56,NA
"04","Arizona","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",888,346,316,41,35,69,81,NA,38.96,35.59,4.62,3.94,7.77,9.12,NA
"04","Arizona","0000","Total-Pop","Total-Pop","FEMALE",3545663,1098015,1950680,142860,126400,143578,79657,4473,30.97,55.02,4.03,3.56,4.05,2.25,0.13
"04","Arizona","2003","Marriage and family therapists","Mental health counselors","FEMALE",593,149,369,10,NA,65,NA,NA,25.13,62.23,1.69,NA,10.96,NA,NA
"04","Arizona","2004","Mental health counselors","Mental health counselors","FEMALE",1476,241,970,92,104,43,26,NA,16.33,65.72,6.23,7.05,2.91,1.76,NA
"04","Arizona","2005","Rehabilitation counselors","Mental health counselors","FEMALE",543,98,350,74,21,NA,NA,NA,18.05,64.46,13.63,3.87,NA,NA,NA
"04","Arizona","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",984,197,475,NA,NA,229,38,45,20.02,48.27,NA,NA,23.27,3.86,4.57
"04","Arizona","1821","Clinical and counseling psychologists","Psychologists","ALL",525,89,385,NA,NA,41,10,NA,16.95,73.33,NA,NA,7.81,1.9,NA
"04","Arizona","0000","Total-Pop","Total-Pop","ALL",7050299,2209820,3857205,275237,237921,297026,163855,9235,31.34,54.71,3.9,3.37,4.21,2.32,0.13
"04","Arizona","1825","Other psychologists","Psychologists","MALE",984,80,780,NA,41,26,57,NA,8.13,79.27,NA,4.17,2.64,5.79,NA
"04","Arizona","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","MALE",126,65,53,NA,NA,8,NA,NA,51.59,42.06,NA,NA,6.35,NA,NA
"04","Arizona","2003","Marriage and family therapists","Mental health counselors","MALE",122,49,68,5,NA,NA,NA,NA,40.16,55.74,4.1,NA,NA,NA,NA
"04","Arizona","2004","Mental health counselors","Mental health counselors","MALE",757,243,489,9,NA,16,NA,NA,32.1,64.6,1.19,NA,2.11,NA,NA
"04","Arizona","2005","Rehabilitation counselors","Mental health counselors","MALE",357,40,271,16,25,NA,5,NA,11.2,75.91,4.48,7,NA,1.4,NA
"04","Arizona","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",762,281,263,41,35,61,81,NA,36.88,34.51,5.38,4.59,8.01,10.63,NA
"04","Arizona","1821","Clinical and counseling psychologists","Psychologists","MALE",164,NA,113,NA,NA,41,10,NA,NA,68.9,NA,NA,25,6.1,NA
"04","Arizona","1822","School psychologists","Psychologists","MALE",324,81,170,NA,73,NA,NA,NA,25,52.47,NA,22.53,NA,NA,NA
"04","Arizona","0000","Total-Pop","Total-Pop","MALE",3504636,1111805,1906525,132377,111521,153448,84198,4762,31.72,54.4,3.78,3.18,4.38,2.4,0.14
"05","Arkansas","1821","Clinical and counseling psychologists","Psychologists","ALL",218,NA,218,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"05","Arkansas","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",761,NA,654,NA,NA,107,NA,NA,NA,85.94,NA,NA,14.06,NA,NA
"05","Arkansas","1822","School psychologists","Psychologists","ALL",168,NA,168,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"05","Arkansas","1825","Other psychologists","Psychologists","ALL",730,NA,617,NA,40,73,NA,NA,NA,84.52,NA,5.48,10,NA,NA
"05","Arkansas","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",299,4,230,NA,NA,65,NA,NA,1.34,76.92,NA,NA,21.74,NA,NA
"05","Arkansas","1821","Clinical and counseling psychologists","Psychologists","FEMALE",99,NA,99,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"05","Arkansas","1822","School psychologists","Psychologists","MALE",43,NA,43,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"05","Arkansas","1825","Other psychologists","Psychologists","MALE",215,NA,215,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"05","Arkansas","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",96,NA,89,NA,NA,7,NA,NA,NA,92.71,NA,NA,7.29,NA,NA
"05","Arkansas","2003","Marriage and family therapists","Mental health counselors","MALE",131,NA,131,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"05","Arkansas","2004","Mental health counselors","Mental health counselors","MALE",202,26,122,NA,NA,54,NA,NA,12.87,60.4,NA,NA,26.73,NA,NA
"05","Arkansas","1822","School psychologists","Psychologists","FEMALE",125,NA,125,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"05","Arkansas","1825","Other psychologists","Psychologists","FEMALE",515,NA,402,NA,40,73,NA,NA,NA,78.06,NA,7.77,14.17,NA,NA
"05","Arkansas","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",665,NA,565,NA,NA,100,NA,NA,NA,84.96,NA,NA,15.04,NA,NA
"05","Arkansas","2003","Marriage and family therapists","Mental health counselors","FEMALE",65,NA,65,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"05","Arkansas","2004","Mental health counselors","Mental health counselors","FEMALE",1091,NA,638,22,NA,386,45,NA,NA,58.48,2.02,NA,35.38,4.12,NA
"05","Arkansas","2005","Rehabilitation counselors","Mental health counselors","FEMALE",125,NA,89,NA,NA,21,15,NA,NA,71.2,NA,NA,16.8,12,NA
"05","Arkansas","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",162,4,93,NA,NA,65,NA,NA,2.47,57.41,NA,NA,40.12,NA,NA
"05","Arkansas","1821","Clinical and counseling psychologists","Psychologists","MALE",119,NA,119,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"05","Arkansas","0000","Total-Pop","Total-Pop","FEMALE",1528125,107959,1105118,10171,28331,240138,34131,2277,7.06,72.32,0.67,1.85,15.71,2.23,0.15
"05","Arkansas","0000","Total-Pop","Total-Pop","MALE",1471245,116318,1066298,7924,25157,217677,35331,2540,7.91,72.48,0.54,1.71,14.8,2.4,0.17
"05","Arkansas","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","MALE",137,NA,137,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"05","Arkansas","2005","Rehabilitation counselors","Mental health counselors","ALL",164,NA,128,NA,NA,21,15,NA,NA,78.05,NA,NA,12.8,9.15,NA
"05","Arkansas","0000","Total-Pop","Total-Pop","ALL",2999370,224277,2171416,18095,53488,457815,69462,4817,7.48,72.4,0.6,1.78,15.26,2.32,0.16
"05","Arkansas","2005","Rehabilitation counselors","Mental health counselors","MALE",39,NA,39,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"05","Arkansas","2004","Mental health counselors","Mental health counselors","ALL",1293,26,760,22,NA,440,45,NA,2.01,58.78,1.7,NA,34.03,3.48,NA
"05","Arkansas","2003","Marriage and family therapists","Mental health counselors","ALL",196,NA,196,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"06","California","2003","Marriage and family therapists","Mental health counselors","ALL",6486,1715,3505,102,580,537,47,NA,26.44,54.04,1.57,8.94,8.28,0.72,NA
"06","California","2004","Mental health counselors","Mental health counselors","ALL",13136,3932,6258,20,1583,1061,259,23,29.93,47.64,0.15,12.05,8.08,1.97,0.18
"06","California","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",14802,4981,6036,79,1370,1548,667,121,33.65,40.78,0.53,9.26,10.46,4.51,0.82
"06","California","1821","Clinical and counseling psychologists","Psychologists","FEMALE",4370,498,3305,27,375,105,48,12,11.4,75.63,0.62,8.58,2.4,1.1,0.27
"06","California","1822","School psychologists","Psychologists","FEMALE",6439,1099,4257,NA,585,287,197,14,17.07,66.11,NA,9.09,4.46,3.06,0.22
"06","California","1822","School psychologists","Psychologists","ALL",7901,1185,5527,NA,657,321,197,14,15,69.95,NA,8.32,4.06,2.49,0.18
"06","California","1825","Other psychologists","Psychologists","ALL",28672,3663,21480,42,1886,876,725,NA,12.78,74.92,0.15,6.58,3.06,2.53,NA
"06","California","1821","Clinical and counseling psychologists","Psychologists","MALE",1634,98,1373,NA,73,64,26,NA,6,84.03,NA,4.47,3.92,1.59,NA
"06","California","1822","School psychologists","Psychologists","MALE",1462,86,1270,NA,72,34,NA,NA,5.88,86.87,NA,4.92,2.33,NA,NA
"06","California","1825","Other psychologists","Psychologists","MALE",7827,953,6330,17,231,202,94,NA,12.18,80.87,0.22,2.95,2.58,1.2,NA
"06","California","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",4509,1526,1627,8,390,737,221,NA,33.84,36.08,0.18,8.65,16.35,4.9,NA
"06","California","2003","Marriage and family therapists","Mental health counselors","MALE",1534,414,725,NA,90,280,25,NA,26.99,47.26,NA,5.87,18.25,1.63,NA
"06","California","2004","Mental health counselors","Mental health counselors","MALE",3684,923,1609,20,533,496,80,23,25.05,43.68,0.54,14.47,13.46,2.17,0.62
"06","California","2005","Rehabilitation counselors","Mental health counselors","MALE",1340,371,458,NA,188,225,22,76,27.69,34.18,NA,14.03,16.79,1.64,5.67
"06","California","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","MALE",1211,450,469,NA,54,162,76,NA,37.16,38.73,NA,4.46,13.38,6.28,NA
"06","California","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",3384,1243,1404,38,281,378,40,NA,36.73,41.49,1.12,8.3,11.17,1.18,NA
"06","California","0000","Total-Pop","Total-Pop","FEMALE",19760052,7616103,7300166,72371,3008215,1095483,616399,51315,38.54,36.94,0.37,15.22,5.54,3.12,0.26
"06","California","1821","Clinical and counseling psychologists","Psychologists","ALL",6004,596,4678,27,448,169,74,12,9.93,77.91,0.45,7.46,2.81,1.23,0.2
"06","California","2005","Rehabilitation counselors","Mental health counselors","FEMALE",3238,780,1502,NA,445,408,103,NA,24.09,46.39,NA,13.74,12.6,3.18,NA
"06","California","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",4595,1693,1873,38,335,540,116,NA,36.84,40.76,0.83,7.29,11.75,2.52,NA
"06","California","2003","Marriage and family therapists","Mental health counselors","FEMALE",4952,1301,2780,102,490,257,22,NA,26.27,56.14,2.06,9.89,5.19,0.44,NA
"06","California","0000","Total-Pop","Total-Pop","MALE",19523445,7711734,7302250,67338,2703796,1072431,616294,49602,39.5,37.4,0.34,13.85,5.49,3.16,0.25
"06","California","2005","Rehabilitation counselors","Mental health counselors","ALL",4578,1151,1960,NA,633,633,125,76,25.14,42.81,NA,13.83,13.83,2.73,1.66
"06","California","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",10293,3455,4409,71,980,811,446,121,33.57,42.83,0.69,9.52,7.88,4.33,1.18
"06","California","2004","Mental health counselors","Mental health counselors","FEMALE",9452,3009,4649,NA,1050,565,179,NA,31.83,49.19,NA,11.11,5.98,1.89,NA
"06","California","1825","Other psychologists","Psychologists","FEMALE",20845,2710,15150,25,1655,674,631,NA,13,72.68,0.12,7.94,3.23,3.03,NA
"06","California","0000","Total-Pop","Total-Pop","ALL",39283497,15327837,14602416,139709,5712011,2167914,1232693,100917,39.02,37.17,0.36,14.54,5.52,3.14,0.26
"08","Colorado","1822","School psychologists","Psychologists","FEMALE",954,23,900,NA,5,NA,26,NA,2.41,94.34,NA,0.52,NA,2.73,NA
"08","Colorado","1821","Clinical and counseling psychologists","Psychologists","FEMALE",720,14,706,NA,NA,NA,NA,NA,1.94,98.06,NA,NA,NA,NA,NA
"08","Colorado","1822","School psychologists","Psychologists","MALE",229,NA,205,NA,24,NA,NA,NA,NA,89.52,NA,10.48,NA,NA,NA
"08","Colorado","1825","Other psychologists","Psychologists","MALE",1400,58,1233,NA,64,11,34,NA,4.14,88.07,NA,4.57,0.79,2.43,NA
"08","Colorado","1821","Clinical and counseling psychologists","Psychologists","MALE",284,12,272,NA,NA,NA,NA,NA,4.23,95.77,NA,NA,NA,NA,NA
"08","Colorado","2004","Mental health counselors","Mental health counselors","MALE",547,208,258,NA,NA,61,20,NA,38.03,47.17,NA,NA,11.15,3.66,NA
"08","Colorado","2005","Rehabilitation counselors","Mental health counselors","MALE",168,38,130,NA,NA,NA,NA,NA,22.62,77.38,NA,NA,NA,NA,NA
"08","Colorado","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",805,101,660,NA,NA,44,NA,NA,12.55,81.99,NA,NA,5.47,NA,NA
"08","Colorado","0000","Total-Pop","Total-Pop","ALL",5610349,1207999,3818754,30585,180647,222126,140321,9917,21.53,68.07,0.55,3.22,3.96,2.5,0.18
"08","Colorado","0000","Total-Pop","Total-Pop","FEMALE",2787279,592396,1902812,15463,98588,103221,69857,4942,21.25,68.27,0.55,3.54,3.7,2.51,0.18
"08","Colorado","0000","Total-Pop","Total-Pop","MALE",2823070,615603,1915942,15122,82059,118905,70464,4975,21.81,67.87,0.54,2.91,4.21,2.5,0.18
"08","Colorado","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",1062,104,865,NA,NA,44,49,NA,9.79,81.45,NA,NA,4.14,4.61,NA
"08","Colorado","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",576,30,370,NA,14,118,44,NA,5.21,64.24,NA,2.43,20.49,7.64,NA
"08","Colorado","2003","Marriage and family therapists","Mental health counselors","MALE",269,38,135,NA,55,41,NA,NA,14.13,50.19,NA,20.45,15.24,NA,NA
"08","Colorado","1821","Clinical and counseling psychologists","Psychologists","ALL",1004,26,978,NA,NA,NA,NA,NA,2.59,97.41,NA,NA,NA,NA,NA
"08","Colorado","1822","School psychologists","Psychologists","ALL",1183,23,1105,NA,29,NA,26,NA,1.94,93.41,NA,2.45,NA,2.2,NA
"08","Colorado","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","MALE",257,3,205,NA,NA,NA,49,NA,1.17,79.77,NA,NA,NA,19.07,NA
"08","Colorado","1825","Other psychologists","Psychologists","FEMALE",2490,184,2216,12,NA,21,57,NA,7.39,89,0.48,NA,0.84,2.29,NA
"08","Colorado","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",1607,220,1058,9,142,178,NA,NA,13.69,65.84,0.56,8.84,11.08,NA,NA
"08","Colorado","2003","Marriage and family therapists","Mental health counselors","FEMALE",782,121,562,NA,24,64,11,NA,15.47,71.87,NA,3.07,8.18,1.41,NA
"08","Colorado","2004","Mental health counselors","Mental health counselors","FEMALE",2033,160,1752,12,37,46,15,11,7.87,86.18,0.59,1.82,2.26,0.74,0.54
"08","Colorado","2005","Rehabilitation counselors","Mental health counselors","FEMALE",357,49,284,24,NA,NA,NA,NA,13.73,79.55,6.72,NA,NA,NA,NA
"08","Colorado","2004","Mental health counselors","Mental health counselors","ALL",2580,368,2010,12,37,107,35,11,14.26,77.91,0.47,1.43,4.15,1.36,0.43
"08","Colorado","2005","Rehabilitation counselors","Mental health counselors","ALL",525,87,414,24,NA,NA,NA,NA,16.57,78.86,4.57,NA,NA,NA,NA
"08","Colorado","1825","Other psychologists","Psychologists","ALL",3890,242,3449,12,64,32,91,NA,6.22,88.66,0.31,1.65,0.82,2.34,NA
"08","Colorado","2003","Marriage and family therapists","Mental health counselors","ALL",1051,159,697,NA,79,105,11,NA,15.13,66.32,NA,7.52,9.99,1.05,NA
"08","Colorado","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",2183,250,1428,9,156,296,44,NA,11.45,65.41,0.41,7.15,13.56,2.02,NA
"09","Connecticut","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",513,90,368,NA,NA,26,29,NA,17.54,71.73,NA,NA,5.07,5.65,NA
"09","Connecticut","1825","Other psychologists","Psychologists","MALE",807,NA,801,NA,NA,6,NA,NA,NA,99.26,NA,NA,0.74,NA,NA
"09","Connecticut","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",332,9,241,18,NA,32,32,NA,2.71,72.59,5.42,NA,9.64,9.64,NA
"09","Connecticut","1822","School psychologists","Psychologists","MALE",183,33,150,NA,NA,NA,NA,NA,18.03,81.97,NA,NA,NA,NA,NA
"09","Connecticut","1822","School psychologists","Psychologists","FEMALE",1038,NA,1019,NA,6,13,NA,NA,NA,98.17,NA,0.58,1.25,NA,NA
"09","Connecticut","1825","Other psychologists","Psychologists","FEMALE",1981,93,1729,NA,36,110,NA,13,4.69,87.28,NA,1.82,5.55,NA,0.66
"09","Connecticut","1821","Clinical and counseling psychologists","Psychologists","MALE",194,NA,194,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"09","Connecticut","1821","Clinical and counseling psychologists","Psychologists","FEMALE",423,NA,396,NA,27,NA,NA,NA,NA,93.62,NA,6.38,NA,NA,NA
"09","Connecticut","2004","Mental health counselors","Mental health counselors","FEMALE",1041,38,732,NA,14,227,30,NA,3.65,70.32,NA,1.34,21.81,2.88,NA
"09","Connecticut","2005","Rehabilitation counselors","Mental health counselors","FEMALE",340,51,225,NA,13,51,NA,NA,15,66.18,NA,3.82,15,NA,NA
"09","Connecticut","0000","Total-Pop","Total-Pop","FEMALE",1829903,288079,1225948,2612,82060,186466,38428,6310,15.74,67,0.14,4.48,10.19,2.1,0.34
