"MET2013","METRO_AREA","OCC","OCCUPATION","OCCUPATION_BROAD","GENDER","TOTAL_POP","HISP-LAT","WHITE","AI-AN","ASIAN-PI","BLACK","TWO-OR-MORE","OTHER","PCT_HISP-LAT","PCT_WHITE","PCT_AI-AN","PCT_ASIAN-PI","PCT_BLACK","PCT_TWO-OR-MORE","PCT_OTHER"
10580,"Albany-Schenectady-Troy, NY","1821","Clinical and counseling psychologists","Psychologists","FEMALE",32,NA,32,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY","1822","School psychologists","Psychologists","FEMALE",345,NA,313,NA,32,NA,NA,NA,NA,90.72,NA,9.28,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY","1825","Other psychologists","Psychologists","FEMALE",333,6,275,NA,NA,52,NA,NA,1.8,82.58,NA,NA,15.62,NA,NA
10580,"Albany-Schenectady-Troy, NY","1821","Clinical and counseling psychologists","Psychologists","ALL",68,NA,68,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY","1822","School psychologists","Psychologists","ALL",463,NA,431,NA,32,NA,NA,NA,NA,93.09,NA,6.91,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY","1825","Other psychologists","Psychologists","ALL",724,6,666,NA,NA,52,NA,NA,0.83,91.99,NA,NA,7.18,NA,NA
10580,"Albany-Schenectady-Troy, NY","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",351,86,203,NA,NA,62,NA,NA,24.5,57.83,NA,NA,17.66,NA,NA
10580,"Albany-Schenectady-Troy, NY","2003","Marriage and family therapists","Mental health counselors","ALL",198,NA,198,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY","2004","Mental health counselors","Mental health counselors","ALL",550,NA,424,NA,NA,54,72,NA,NA,77.09,NA,NA,9.82,13.09,NA
10580,"Albany-Schenectady-Troy, NY","1822","School psychologists","Psychologists","MALE",118,NA,118,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY","1825","Other psychologists","Psychologists","MALE",391,NA,391,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY","0000","Total-Pop","Total-Pop","FEMALE",433591,21743,344923,428,19245,31557,13334,2361,5.01,79.55,0.1,4.44,7.28,3.08,0.54
10580,"Albany-Schenectady-Troy, NY","2003","Marriage and family therapists","Mental health counselors","MALE",49,NA,49,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY","2004","Mental health counselors","Mental health counselors","MALE",206,NA,80,NA,NA,54,72,NA,NA,38.83,NA,NA,26.21,34.95,NA
10580,"Albany-Schenectady-Troy, NY","2005","Rehabilitation counselors","Mental health counselors","MALE",32,NA,17,NA,NA,15,NA,NA,NA,53.12,NA,NA,46.88,NA,NA
10580,"Albany-Schenectady-Troy, NY","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","MALE",31,NA,31,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY","0000","Total-Pop","Total-Pop","ALL",849946,44339,674589,1066,38347,61683,26241,3681,5.22,79.37,0.13,4.51,7.26,3.09,0.43
10580,"Albany-Schenectady-Troy, NY","2005","Rehabilitation counselors","Mental health counselors","ALL",171,37,105,NA,10,19,NA,NA,21.64,61.4,NA,5.85,11.11,NA,NA
10580,"Albany-Schenectady-Troy, NY","2004","Mental health counselors","Mental health counselors","FEMALE",344,NA,344,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10580,"Albany-Schenectady-Troy, NY","0000","Total-Pop","Total-Pop","MALE",416355,22596,329666,638,19102,30126,12907,1320,5.43,79.18,0.15,4.59,7.24,3.1,0.32
10580,"Albany-Schenectady-Troy, NY","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",118,NA,95,NA,NA,14,9,NA,NA,80.51,NA,NA,11.86,7.63,NA
10740,"Albuquerque, NM","1822","School psychologists","Psychologists","FEMALE",101,26,75,NA,NA,NA,NA,NA,25.74,74.26,NA,NA,NA,NA,NA
10740,"Albuquerque, NM","1821","Clinical and counseling psychologists","Psychologists","FEMALE",50,NA,50,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10740,"Albuquerque, NM","2004","Mental health counselors","Mental health counselors","FEMALE",641,186,392,41,NA,9,13,NA,29.02,61.15,6.4,NA,1.4,2.03,NA
10740,"Albuquerque, NM","1821","Clinical and counseling psychologists","Psychologists","ALL",131,NA,131,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10740,"Albuquerque, NM","1822","School psychologists","Psychologists","ALL",101,26,75,NA,NA,NA,NA,NA,25.74,74.26,NA,NA,NA,NA,NA
10740,"Albuquerque, NM","1825","Other psychologists","Psychologists","FEMALE",236,19,217,NA,NA,NA,NA,NA,8.05,91.95,NA,NA,NA,NA,NA
10740,"Albuquerque, NM","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",97,59,12,11,NA,15,NA,NA,60.82,12.37,11.34,NA,15.46,NA,NA
10740,"Albuquerque, NM","2003","Marriage and family therapists","Mental health counselors","ALL",164,44,83,NA,NA,NA,37,NA,26.83,50.61,NA,NA,NA,22.56,NA
10740,"Albuquerque, NM","2004","Mental health counselors","Mental health counselors","ALL",726,213,450,41,NA,9,13,NA,29.34,61.98,5.65,NA,1.24,1.79,NA
10740,"Albuquerque, NM","2005","Rehabilitation counselors","Mental health counselors","ALL",139,30,50,NA,23,24,12,NA,21.58,35.97,NA,16.55,17.27,8.63,NA
10740,"Albuquerque, NM","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",177,64,113,NA,NA,NA,NA,NA,36.16,63.84,NA,NA,NA,NA,NA
10740,"Albuquerque, NM","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",65,42,12,11,NA,NA,NA,NA,64.62,18.46,16.92,NA,NA,NA,NA
10740,"Albuquerque, NM","2003","Marriage and family therapists","Mental health counselors","FEMALE",120,44,39,NA,NA,NA,37,NA,36.67,32.5,NA,NA,NA,30.83,NA
10740,"Albuquerque, NM","0000","Total-Pop","Total-Pop","ALL",896519,440540,349615,47650,19722,20170,17387,1435,49.14,39,5.32,2.2,2.25,1.94,0.16
10740,"Albuquerque, NM","1825","Other psychologists","Psychologists","ALL",370,45,316,NA,9,NA,NA,NA,12.16,85.41,NA,2.43,NA,NA,NA
10740,"Albuquerque, NM","2005","Rehabilitation counselors","Mental health counselors","FEMALE",33,NA,33,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10740,"Albuquerque, NM","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",156,43,113,NA,NA,NA,NA,NA,27.56,72.44,NA,NA,NA,NA,NA
10740,"Albuquerque, NM","1821","Clinical and counseling psychologists","Psychologists","MALE",81,NA,81,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10740,"Albuquerque, NM","2005","Rehabilitation counselors","Mental health counselors","MALE",106,30,17,NA,23,24,12,NA,28.3,16.04,NA,21.7,22.64,11.32,NA
10740,"Albuquerque, NM","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",32,17,NA,NA,NA,15,NA,NA,53.12,NA,NA,NA,46.88,NA,NA
10740,"Albuquerque, NM","2003","Marriage and family therapists","Mental health counselors","MALE",44,NA,44,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10740,"Albuquerque, NM","2004","Mental health counselors","Mental health counselors","MALE",85,27,58,NA,NA,NA,NA,NA,31.76,68.24,NA,NA,NA,NA,NA
10740,"Albuquerque, NM","0000","Total-Pop","Total-Pop","MALE",440365,216348,172414,21668,8425,11712,9131,667,49.13,39.15,4.92,1.91,2.66,2.07,0.15
10740,"Albuquerque, NM","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","MALE",21,21,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
10740,"Albuquerque, NM","1825","Other psychologists","Psychologists","MALE",134,26,99,NA,9,NA,NA,NA,19.4,73.88,NA,6.72,NA,NA,NA
10740,"Albuquerque, NM","0000","Total-Pop","Total-Pop","FEMALE",456154,224192,177201,25982,11297,8458,8256,768,49.15,38.85,5.7,2.48,1.85,1.81,0.17
10900,"Allentown-Bethlehem-Easton, PA-NJ","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",520,47,414,NA,NA,27,32,NA,9.04,79.62,NA,NA,5.19,6.15,NA
10900,"Allentown-Bethlehem-Easton, PA-NJ","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",421,NA,389,NA,NA,NA,32,NA,NA,92.4,NA,NA,NA,7.6,NA
10900,"Allentown-Bethlehem-Easton, PA-NJ","1821","Clinical and counseling psychologists","Psychologists","FEMALE",227,NA,199,NA,NA,28,NA,NA,NA,87.67,NA,NA,12.33,NA,NA
10900,"Allentown-Bethlehem-Easton, PA-NJ","1822","School psychologists","Psychologists","FEMALE",95,NA,95,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10900,"Allentown-Bethlehem-Easton, PA-NJ","1825","Other psychologists","Psychologists","FEMALE",254,NA,254,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10900,"Allentown-Bethlehem-Easton, PA-NJ","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",46,NA,46,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10900,"Allentown-Bethlehem-Easton, PA-NJ","2003","Marriage and family therapists","Mental health counselors","ALL",83,NA,43,NA,NA,NA,40,NA,NA,51.81,NA,NA,NA,48.19,NA
10900,"Allentown-Bethlehem-Easton, PA-NJ","2004","Mental health counselors","Mental health counselors","ALL",462,38,384,NA,NA,40,NA,NA,8.23,83.12,NA,NA,8.66,NA,NA
10900,"Allentown-Bethlehem-Easton, PA-NJ","2005","Rehabilitation counselors","Mental health counselors","ALL",28,NA,28,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10900,"Allentown-Bethlehem-Easton, PA-NJ","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",99,47,25,NA,NA,27,NA,NA,47.47,25.25,NA,NA,27.27,NA,NA
10900,"Allentown-Bethlehem-Easton, PA-NJ","2003","Marriage and family therapists","Mental health counselors","MALE",67,NA,27,NA,NA,NA,40,NA,NA,40.3,NA,NA,NA,59.7,NA
10900,"Allentown-Bethlehem-Easton, PA-NJ","2004","Mental health counselors","Mental health counselors","MALE",163,NA,163,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10900,"Allentown-Bethlehem-Easton, PA-NJ","1821","Clinical and counseling psychologists","Psychologists","ALL",239,NA,211,NA,NA,28,NA,NA,NA,88.28,NA,NA,11.72,NA,NA
10900,"Allentown-Bethlehem-Easton, PA-NJ","1822","School psychologists","Psychologists","ALL",145,NA,145,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10900,"Allentown-Bethlehem-Easton, PA-NJ","1825","Other psychologists","Psychologists","ALL",334,NA,334,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10900,"Allentown-Bethlehem-Easton, PA-NJ","2003","Marriage and family therapists","Mental health counselors","FEMALE",16,NA,16,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10900,"Allentown-Bethlehem-Easton, PA-NJ","2004","Mental health counselors","Mental health counselors","FEMALE",299,38,221,NA,NA,40,NA,NA,12.71,73.91,NA,NA,13.38,NA,NA
10900,"Allentown-Bethlehem-Easton, PA-NJ","2005","Rehabilitation counselors","Mental health counselors","FEMALE",28,NA,28,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10900,"Allentown-Bethlehem-Easton, PA-NJ","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",21,NA,21,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10900,"Allentown-Bethlehem-Easton, PA-NJ","1821","Clinical and counseling psychologists","Psychologists","MALE",12,NA,12,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10900,"Allentown-Bethlehem-Easton, PA-NJ","1822","School psychologists","Psychologists","MALE",50,NA,50,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10900,"Allentown-Bethlehem-Easton, PA-NJ","1825","Other psychologists","Psychologists","MALE",80,NA,80,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
10900,"Allentown-Bethlehem-Easton, PA-NJ","0000","Total-Pop","Total-Pop","FEMALE",426665,70801,314017,559,12017,19628,8738,905,16.59,73.6,0.13,2.82,4.6,2.05,0.21
10900,"Allentown-Bethlehem-Easton, PA-NJ","0000","Total-Pop","Total-Pop","MALE",411544,71332,298387,204,11298,21789,7578,956,17.33,72.5,0.05,2.75,5.29,1.84,0.23
10900,"Allentown-Bethlehem-Easton, PA-NJ","0000","Total-Pop","Total-Pop","ALL",838209,142133,612404,763,23315,41417,16316,1861,16.96,73.06,0.09,2.78,4.94,1.95,0.22
10900,"Allentown-Bethlehem-Easton, PA-NJ","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","MALE",25,NA,25,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11100,"Amarillo, TX","0000","Total-Pop","Total-Pop","MALE",127538,38408,72523,518,4924,8818,2306,41,30.11,56.86,0.41,3.86,6.91,1.81,0.03
11100,"Amarillo, TX","2004","Mental health counselors","Mental health counselors","FEMALE",17,NA,17,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11100,"Amarillo, TX","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",11,11,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
11100,"Amarillo, TX","0000","Total-Pop","Total-Pop","ALL",253549,74916,148621,957,9412,15302,4300,41,29.55,58.62,0.38,3.71,6.04,1.7,0.02
11100,"Amarillo, TX","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",22,5,17,NA,NA,NA,NA,NA,22.73,77.27,NA,NA,NA,NA,NA
11100,"Amarillo, TX","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",11,11,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
11100,"Amarillo, TX","1822","School psychologists","Psychologists","ALL",28,NA,28,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11100,"Amarillo, TX","1825","Other psychologists","Psychologists","ALL",35,NA,33,NA,2,NA,NA,NA,NA,94.29,NA,5.71,NA,NA,NA
11100,"Amarillo, TX","1825","Other psychologists","Psychologists","FEMALE",12,NA,12,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11100,"Amarillo, TX","2003","Marriage and family therapists","Mental health counselors","ALL",14,NA,14,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11100,"Amarillo, TX","2004","Mental health counselors","Mental health counselors","ALL",46,NA,46,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11100,"Amarillo, TX","0000","Total-Pop","Total-Pop","FEMALE",126011,36508,76098,439,4488,6484,1994,NA,28.97,60.39,0.35,3.56,5.15,1.58,NA
11100,"Amarillo, TX","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",7,NA,7,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11100,"Amarillo, TX","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",15,5,10,NA,NA,NA,NA,NA,33.33,66.67,NA,NA,NA,NA,NA
11100,"Amarillo, TX","2003","Marriage and family therapists","Mental health counselors","FEMALE",14,NA,14,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11100,"Amarillo, TX","1822","School psychologists","Psychologists","FEMALE",28,NA,28,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11100,"Amarillo, TX","2004","Mental health counselors","Mental health counselors","MALE",29,NA,29,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11100,"Amarillo, TX","1825","Other psychologists","Psychologists","MALE",23,NA,21,NA,2,NA,NA,NA,NA,91.3,NA,8.7,NA,NA,NA
11260,"Anchorage, AK","1822","School psychologists","Psychologists","ALL",83,NA,83,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11260,"Anchorage, AK","1825","Other psychologists","Psychologists","ALL",346,NA,323,NA,NA,NA,23,NA,NA,93.35,NA,NA,NA,6.65,NA
11260,"Anchorage, AK","1821","Clinical and counseling psychologists","Psychologists","ALL",61,NA,61,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11260,"Anchorage, AK","2003","Marriage and family therapists","Mental health counselors","FEMALE",12,NA,12,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11260,"Anchorage, AK","1821","Clinical and counseling psychologists","Psychologists","FEMALE",8,NA,8,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11260,"Anchorage, AK","1822","School psychologists","Psychologists","FEMALE",23,NA,23,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11260,"Anchorage, AK","1825","Other psychologists","Psychologists","FEMALE",322,NA,299,NA,NA,NA,23,NA,NA,92.86,NA,NA,NA,7.14,NA
11260,"Anchorage, AK","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",60,NA,60,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11260,"Anchorage, AK","0000","Total-Pop","Total-Pop","FEMALE",222719,16902,143412,16857,19287,7859,17865,537,7.59,64.39,7.57,8.66,3.53,8.02,0.24
11260,"Anchorage, AK","2004","Mental health counselors","Mental health counselors","FEMALE",79,NA,22,4,NA,NA,53,NA,NA,27.85,5.06,NA,NA,67.09,NA
11260,"Anchorage, AK","2005","Rehabilitation counselors","Mental health counselors","FEMALE",19,NA,19,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11260,"Anchorage, AK","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",219,NA,173,46,NA,NA,NA,NA,NA,79,21,NA,NA,NA,NA
11260,"Anchorage, AK","2003","Marriage and family therapists","Mental health counselors","ALL",32,NA,32,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11260,"Anchorage, AK","2004","Mental health counselors","Mental health counselors","ALL",360,NA,221,4,5,NA,130,NA,NA,61.39,1.11,1.39,NA,36.11,NA
11260,"Anchorage, AK","0000","Total-Pop","Total-Pop","ALL",457493,34543,301134,31853,36479,16911,35563,1010,7.55,65.82,6.96,7.97,3.7,7.77,0.22
11260,"Anchorage, AK","1822","School psychologists","Psychologists","MALE",60,NA,60,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11260,"Anchorage, AK","2005","Rehabilitation counselors","Mental health counselors","ALL",19,NA,19,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11260,"Anchorage, AK","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",67,NA,67,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11260,"Anchorage, AK","2003","Marriage and family therapists","Mental health counselors","MALE",20,NA,20,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11260,"Anchorage, AK","2004","Mental health counselors","Mental health counselors","MALE",281,NA,199,NA,5,NA,77,NA,NA,70.82,NA,1.78,NA,27.4,NA
11260,"Anchorage, AK","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","MALE",43,NA,43,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11260,"Anchorage, AK","0000","Total-Pop","Total-Pop","MALE",234774,17641,157722,14996,17192,9052,17698,473,7.51,67.18,6.39,7.32,3.86,7.54,0.2
11260,"Anchorage, AK","1821","Clinical and counseling psychologists","Psychologists","MALE",53,NA,53,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11260,"Anchorage, AK","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",24,NA,24,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11260,"Anchorage, AK","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",159,NA,113,46,NA,NA,NA,NA,NA,71.07,28.93,NA,NA,NA,NA
11260,"Anchorage, AK","1825","Other psychologists","Psychologists","MALE",24,NA,24,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11460,"Ann Arbor, MI","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",46,NA,46,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11460,"Ann Arbor, MI","0000","Total-Pop","Total-Pop","MALE",181608,8365,127156,269,16640,21230,7340,608,4.61,70.02,0.15,9.16,11.69,4.04,0.33
11460,"Ann Arbor, MI","2005","Rehabilitation counselors","Mental health counselors","FEMALE",21,NA,21,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11460,"Ann Arbor, MI","2003","Marriage and family therapists","Mental health counselors","MALE",35,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,100,NA,NA
11460,"Ann Arbor, MI","2004","Mental health counselors","Mental health counselors","MALE",131,NA,50,NA,26,55,NA,NA,NA,38.17,NA,19.85,41.98,NA,NA
11460,"Ann Arbor, MI","0000","Total-Pop","Total-Pop","FEMALE",185212,8877,129770,523,16443,22475,6551,573,4.79,70.07,0.28,8.88,12.13,3.54,0.31
11460,"Ann Arbor, MI","1821","Clinical and counseling psychologists","Psychologists","ALL",65,NA,65,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
11460,"Ann Arbor, MI","1822","School psychologists","Psychologists","ALL",94,NA,78,NA,NA,16,NA,NA,NA,82.98,NA,NA,17.02,NA,NA
11460,"Ann Arbor, MI","1825","Other psychologists","Psychologists","ALL",763,24,687,NA,38,NA,14,NA,3.15,90.04,NA,4.98,NA,1.83,NA
